date_all,n
"1999/07	",1
"1999/08	",0
"1999/09	",0
"1999/10	",0
"1999/11	",1
"1999/12	",0
"2000/01	",5
"2000/02	",0
"2000/03	",0
"2000/04	",1
"2000/05	",0
"2000/06	",0
"2000/07	",1
"2000/08	",0
"2000/09	",0
"2000/10	",4
"2000/11	",0
"2000/12	",0
"2001/01	",0
"2001/02	",1
"2001/03	",1
"2001/04	",3
"2001/05	",1
"2001/06	",1
"2001/07	",2
"2001/08	",0
"2001/09	",0
"2001/10	",1
"2001/11	",0
"2001/12	",0
"2002/01	",0
"2002/02	",0
"2002/03	",0
"2002/04	",1
"2002/05	",0
"2002/06	",1
"2002/07	",0
"2002/08	",1
"2002/09	",0
"2002/10	",0
"2002/11	",0
"2002/12	",0
"2003/01	",2
"2003/02	",0
"2003/03	",0
"2003/04	",0
"2003/05	",2
"2003/06	",0
"2003/07	",3
"2003/08	",0
"2003/09	",0
"2003/10	",1
"2003/11	",2
"2003/12	",1
"2004/01	",0
"2004/02	",0
"2004/03	",4
"2004/04	",2
"2004/05	",2
"2004/06	",0
"2004/07	",3
"2004/08	",2
"2004/09	",0
"2004/10	",1
"2004/11	",0
"2004/12	",1
"2005/01	",1
"2005/02	",0
"2005/03	",0
"2005/04	",3
"2005/05	",0
"2005/06	",0
"2005/07	",0
"2005/08	",2
"2005/09	",0
"2005/10	",0
"2005/11	",0
"2005/12	",0
"2006/01	",1
"2006/02	",2
"2006/03	",1
"2006/04	",2
"2006/05	",0
"2006/06	",0
"2006/07	",1
"2006/08	",1
"2006/09	",0
"2006/10	",0
"2006/11	",0
"2006/12	",0
"2007/01	",0
"2007/02	",0
"2007/03	",0
"2007/04	",0
"2007/05	",4
"2007/06	",1
"2007/07	",0
"2007/08	",0
"2007/09	",0
"2007/10	",0
"2007/11	",0
"2007/12	",0
"2008/01	",3
"2008/02	",0
"2008/03	",0
"2008/04	",0
"2008/05	",45
"2008/06	",3
"2008/07	",3
"2008/08	",9
"2008/09	",4
"2008/10	",4
"2008/11	",1
"2008/12	",2
"2009/01	",0
"2009/02	",0
"2009/03	",0
"2009/04	",0
"2009/05	",0
"2009/06	",2
"2009/07	",3
"2009/08	",0
"2009/09	",1
"2009/10	",0
"2009/11	",3
"2009/12	",0
"2010/01	",1
"2010/02	",1
"2010/03	",2
"2010/04	",2
"2010/05	",1
"2010/06	",0
"2010/07	",0
"2010/08	",0
"2010/09	",0
"2010/10	",0
"2010/11	",1
"2010/12	",1
"2011/01	",0
"2011/02	",0
"2011/03	",0
"2011/04	",1
"2011/05	",0
"2011/06	",0
"2011/07	",0
"2011/08	",1
"2011/09	",0
"2011/10	",1
"2011/11	",0
"2011/12	",0
"2012/01	",0
"2012/02	",1
"2012/03	",0
"2012/04	",0
"2012/05	",0
"2012/06	",1
"2012/07	",0
"2012/08	",1
"2012/09	",2
"2012/10	",0
"2012/11	",0
"2012/12	",0
"2013/01	",2
"2013/02	",1
"2013/03	",1
"2013/04	",5
"2013/05	",2
"2013/06	",0
"2013/07	",0
"2013/08	",5
"2013/09	",0
"2013/10	",0
"2013/11	",0
"2013/12	",0
"2014/01	",0
"2014/02	",1
"2014/03	",1
"2014/04	",1
"2014/05	",0
"2014/06	",0
"2014/07	",0
"2014/08	",3
"2014/09	",0
"2014/10	",2
"2014/11	",2
"2014/12	",1
"2015/01	",1
"2015/02	",1
"2015/03	",0
"2015/04	",1
"2015/05	",0
