,date,e4,e5,e6,e7
202,Oct-86,8,1,0,0
203,Nov-86,4,1,0,0
204,Dec-86,2,0,0,0
205,Jan-87,0,0,0,0
206,Feb-87,1,0,0,0
207,Mar-87,4,0,0,0
208,Apr-87,2,1,0,0
209,May-87,2,0,0,0
210,Jun-87,1,0,0,0
211,Jul-87,1,0,0,0
212,Aug-87,3,0,0,0
213,Sep-87,9,1,0,0
214,Oct-87,1,1,0,0
215,Nov-87,1,0,0,0
216,Dec-87,0,0,0,0
217,Jan-88,4,2,0,0
218,Feb-88,2,0,0,0
219,Mar-88,1,0,0,0
220,Apr-88,6,1,0,0
221,May-88,3,0,0,0
222,Jun-88,4,1,0,0
223,Jul-88,2,0,0,0
224,Aug-88,1,0,0,0
225,Sep-88,2,1,0,0
226,Oct-88,3,0,0,0
227,Nov-88,2,1,0,0
228,Dec-88,1,0,0,0
229,Jan-89,4,1,0,0
230,Feb-89,8,1,0,0
231,Mar-89,1,1,0,0
232,Apr-89,22,3,2,0
233,May-89,22,3,2,0
234,Jun-89,4,1,0,0
235,Jul-89,2,1,0,0
236,Aug-89,3,0,0,0
237,Sep-89,9,2,1,0
238,Oct-89,2,0,0,0
239,Nov-89,4,1,0,0
240,Dec-89,4,0,0,0
241,Jan-90,5,0,0,0
242,Feb-90,5,0,0,0
243,Mar-90,2,0,0,0
244,Apr-90,6,1,0,0
245,May-90,5,0,0,0
246,Jun-90,3,1,0,0
247,Jul-90,4,0,0,0
248,Aug-90,5,0,0,0
249,Sep-90,0,0,0,0
250,Oct-90,5,0,0,0
251,Nov-90,4,0,0,0
252,Dec-90,3,0,0,0
253,Jan-91,0,0,0,0
254,Feb-91,2,1,0,0
255,Mar-91,3,0,0,0
256,Apr-91,2,1,0,0
257,May-91,4,0,0,0
258,Jun-91,3,1,0,0
259,Jul-91,11,0,0,0
260,Aug-91,1,0,0,0
261,Sep-91,1,0,0,0
262,Oct-91,1,0,0,0
263,Nov-91,3,0,0,0
264,Dec-91,9,0,0,0
265,Jan-92,3,0,0,0
266,Feb-92,2,0,0,0
267,Mar-92,3,0,0,0
268,Apr-92,6,0,0,0
269,May-92,5,0,0,0
270,Jun-92,2,0,0,0
271,Jul-92,3,1,1,0
272,Aug-92,9,1,0,0
273,Sep-92,4,0,0,0
274,Oct-92,3,0,0,0
275,Nov-92,3,0,0,0
276,Dec-92,6,2,0,0
277,Jan-93,4,3,2,0
278,Feb-93,6,0,0,0
279,Mar-93,7,2,1,0
280,Apr-93,7,0,0,0
281,May-93,6,0,0,0
282,Jun-93,6,0,0,0
283,Jul-93,7,1,0,0
284,Aug-93,6,1,0,0
285,Sep-93,8,0,0,0
286,Oct-93,4,0,0,0
287,Nov-93,2,0,0,0
288,Dec-93,4,0,0,0
289,Jan-94,1,0,0,0
290,Feb-94,3,0,0,0
291,Mar-94,4,0,0,0
292,Apr-94,1,0,0,0
293,May-94,3,0,0,0
294,Jun-94,6,2,1,0
295,Jul-94,6,1,0,0
296,Aug-94,4,1,0,0
297,Sep-94,5,1,0,0
298,Oct-94,1,0,0,0
299,Nov-94,4,0,0,0
300,Dec-94,4,1,0,0
301,Jan-95,7,0,0,0
302,Feb-95,2,0,0,0
303,Mar-95,5,0,0,0
304,Apr-95,8,1,0,0
305,May-95,2,0,0,0
306,Jun-95,5,0,0,0
307,Jul-95,8,0,0,0
308,Aug-95,2,0,0,0
309,Sep-95,0,0,0,0
310,Oct-95,22,2,1,0
311,Nov-95,13,2,0,0
312,Dec-95,5,0,0,0
313,Jan-96,3,0,0,0
314,Feb-96,28,8,1,0
315,Mar-96,4,0,0,0
316,Apr-96,2,0,0,0
317,May-96,10,0,0,0
318,Jun-96,2,0,0,0
319,Jul-96,17,4,1,0
320,Aug-96,8,0,0,0
321,Sep-96,5,1,0,0
322,Oct-96,2,0,0,0
323,Nov-96,4,0,0,0
324,Dec-96,1,1,0,0
325,Jan-97,5,0,0,0
326,Feb-97,3,0,0,0
327,Mar-97,7,1,0,0
328,Apr-97,8,0,0,0
329,May-97,2,1,0,0
330,Jun-97,6,0,0,0
331,Jul-97,6,0,0,0
332,Aug-97,6,1,0,0
333,Sep-97,3,0,0,0
334,Oct-97,6,1,0,0
335,Nov-97,40,8,1,1
336,Dec-97,6,1,0,0
337,Jan-98,4,1,0,0
338,Feb-98,2,0,0,0
339,Mar-98,6,0,0,0
340,Apr-98,3,0,0,0
341,May-98,5,1,0,0
342,Jun-98,3,1,0,0
343,Jul-98,12,2,1,0
344,Aug-98,17,3,0,0
345,Sep-98,5,1,0,0
346,Oct-98,11,3,0,0
347,Nov-98,5,2,1,0
348,Dec-98,3,0,0,0
349,Jan-99,4,0,0,0
350,Feb-99,2,0,0,0
351,Mar-99,4,1,0,0
352,Apr-99,3,0,0,0
353,May-99,2,1,0,0
354,Jun-99,6,0,0,0
355,Jul-99,2,1,0,0
356,Aug-99,2,0,0,0
357,Sep-99,5,0,0,0
358,Oct-99,3,0,0,0
359,Nov-99,3,1,0,0
360,Dec-99,0,0,0,0
361,Jan-00,14,5,1,0
362,Feb-00,2,0,0,0
363,Mar-00,2,0,0,0
364,Apr-00,4,1,0,0
365,May-00,5,0,0,0
366,Jun-00,2,0,0,0
367,Jul-00,3,1,0,0
368,Aug-00,3,0,0,0
369,Sep-00,2,0,0,0
370,Oct-00,13,4,0,0
371,Nov-00,2,0,0,0
372,Dec-00,3,0,0,0
373,Jan-01,1,0,0,0
374,Feb-01,5,1,1,0
375,Mar-01,7,1,1,0
376,Apr-01,8,3,1,0
377,May-01,4,1,1,0
378,Jun-01,9,1,0,0
